                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96142,                 1.2585,                 1.2378,                0.93657,                0.98139,                0.98378,                0.82839,                0.69499,                0.70545,                 1.0732,             0.00030065,             0.00030065,             0.00030065
                      2,                0.64001,                0.61016,                 1.0081,                0.95231,                0.98136,                0.97935,                0.84958,                0.61318,                0.51854,                0.91288,             0.00058373,             0.00058373,             0.00058373
                      3,                0.56313,                0.50353,                0.91924,                0.95501,                0.97367,                0.98009,                0.89702,                0.44294,                0.46131,                0.83144,             0.00084681,             0.00084681,             0.00084681
                      4,                0.51437,                0.43543,                0.90293,                0.96843,                0.96729,                0.99084,                 0.9165,                0.43502,                 0.4146,                0.83573,             0.00081901,             0.00081901,             0.00081901
                      5,                0.48755,                0.39104,                0.88335,                 0.9577,                0.97491,                0.98535,                0.90363,                0.43602,                0.38689,                0.81717,             0.00081901,             0.00081901,             0.00081901
                      6,                0.46181,                0.35593,                0.87182,                  0.987,                0.95916,                0.99155,                0.91911,                0.40506,                0.34276,                0.80431,             0.00078901,             0.00078901,             0.00078901
                      7,                0.42787,                0.32483,                0.85748,                0.95861,                0.97942,                 0.9794,                0.88126,                 0.4833,                0.37438,                0.84358,             0.00075902,             0.00075902,             0.00075902
                      8,                0.42653,                0.31172,                0.85488,                0.97626,                 0.9648,                0.99142,                0.93011,                0.35073,                 0.3019,                0.79062,             0.00072902,             0.00072902,             0.00072902
                      9,                0.41824,                0.29452,                0.84964,                0.98368,                0.96019,                0.99218,                0.93198,                0.35175,                0.28608,                0.78883,             0.00069902,             0.00069902,             0.00069902
                     10,                0.39112,                0.28486,                0.84605,                0.96393,                0.95794,                0.98895,                0.92613,                0.35389,                  0.312,                0.78511,             0.00066902,             0.00066902,             0.00066902
                     11,                0.38067,                0.27745,                0.84545,                0.97433,                0.96553,                0.99014,                0.93915,                0.33216,                0.29225,                0.78669,             0.00063903,             0.00063903,             0.00063903
                     12,                0.37349,                0.26919,                0.83795,                0.98284,                0.96249,                0.99151,                0.94433,                0.32229,                0.28301,                0.78404,             0.00060903,             0.00060903,             0.00060903
                     13,                0.35948,                 0.2576,                0.83559,                0.96484,                0.96335,                0.98961,                0.95122,                0.29967,                0.27178,                0.77782,             0.00057903,             0.00057903,             0.00057903
                     14,                0.35306,                  0.252,                0.83293,                 0.9792,                0.96173,                0.99266,                0.94131,                0.33326,                0.26617,                0.79527,             0.00054904,             0.00054904,             0.00054904
                     15,                  0.349,                0.24844,                0.83069,                0.98204,                 0.9649,                0.99224,                0.94618,                0.30312,                0.25724,                0.77677,             0.00051904,             0.00051904,             0.00051904
                     16,                0.34064,                0.23581,                0.82866,                0.96849,                0.96382,                0.98865,                0.93833,                0.30249,                0.26166,                0.77694,             0.00048904,             0.00048904,             0.00048904
                     17,                0.33477,                0.23422,                0.82663,                0.96628,                0.97211,                0.98577,                0.94509,                0.29311,                 0.2424,                0.77531,             0.00045904,             0.00045904,             0.00045904
                     18,                0.33221,                0.23151,                 0.8276,                0.96861,                 0.9622,                0.99203,                0.95366,                0.28878,                0.24763,                0.77834,             0.00042905,             0.00042905,             0.00042905
                     19,                0.32105,                0.22464,                0.82312,                0.98144,                 0.9741,                0.99325,                0.95524,                0.29847,                0.22592,                0.77426,             0.00039905,             0.00039905,             0.00039905
                     20,                0.31271,                0.21906,                0.82017,                 0.9653,                0.98919,                0.99032,                 0.9572,                0.27311,                0.22522,                0.77068,             0.00036905,             0.00036905,             0.00036905
                     21,                0.31198,                0.21575,                  0.819,                0.97521,                0.97216,                0.99223,                0.95478,                0.28174,                0.22406,                0.77142,             0.00033906,             0.00033906,             0.00033906
                     22,                0.30592,                0.21244,                0.81964,                0.96679,                0.97708,                0.99084,                0.95536,                0.28222,                0.23232,                0.77214,             0.00030906,             0.00030906,             0.00030906
                     23,                0.30094,                0.20952,                0.82203,                0.97785,                0.96173,                0.99203,                0.94382,                0.29013,                0.23892,                0.77249,             0.00027906,             0.00027906,             0.00027906
                     24,                0.29559,                0.20528,                0.82177,                0.96991,                0.98098,                0.99223,                0.95581,                0.27659,                0.22236,                0.77163,             0.00024907,             0.00024907,             0.00024907
                     25,                0.28966,                0.19977,                0.81773,                0.96725,                0.98134,                0.98826,                 0.9569,                0.26691,                 0.2381,                0.76985,             0.00021907,             0.00021907,             0.00021907
                     26,                0.28807,                0.19683,                0.81671,                0.96436,                0.97098,                0.99012,                0.95508,                0.28288,                0.22586,                0.77367,             0.00018907,             0.00018907,             0.00018907
                     27,                0.27914,                0.19202,                0.81493,                0.95608,                0.98106,                0.99012,                0.95785,                0.25827,                 0.2207,                0.76882,             0.00015907,             0.00015907,             0.00015907
                     28,                 0.2767,                0.19021,                0.81244,                0.99282,                 0.9655,                0.99274,                0.96466,                0.25858,                0.19539,                0.76793,             0.00012908,             0.00012908,             0.00012908
                     29,                0.27348,                0.18871,                 0.8107,                0.97906,                0.96883,                0.99274,                0.95765,                0.25211,                0.20227,                0.76757,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     30,                0.26637,                0.18472,                0.81183,                 0.9676,                0.98139,                0.99332,                0.96753,                0.24535,                0.19681,                0.76891,             6.9084e-05,             6.9084e-05,             6.9084e-05
