                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.11165,                0.21337,                0.08813,                0.73878,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00055274,             0.00055274,             0.00055274
                      2,                0.11775,                0.17904,                0.09524,                0.73833,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010718,              0.0010718,              0.0010718
                      3,                0.12645,                0.18696,                0.10364,                0.73973,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015542,              0.0015542,              0.0015542
                      4,                0.11933,                0.17642,                0.09822,                 0.7387,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001502,               0.001502,               0.001502
                      5,                0.11994,                0.18833,                0.09491,                0.73837,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001502,               0.001502,               0.001502
                      6,                0.11166,                0.17052,                0.09111,                0.73754,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001447,               0.001447,               0.001447
                      7,                0.11305,                0.17403,                 0.0892,                0.73764,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013919,              0.0013919,              0.0013919
                      8,                0.11246,                0.17966,                0.08963,                0.73756,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013369,              0.0013369,              0.0013369
                      9,                0.10624,                0.16445,                0.08735,                0.73686,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012819,              0.0012819,              0.0012819
                     10,                0.09754,                0.14927,                0.07792,                0.73615,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012269,              0.0012269,              0.0012269
                     11,                0.10294,                0.15599,                0.08193,                0.73645,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011719,              0.0011719,              0.0011719
                     12,                0.09605,                0.14343,                0.07815,                0.73567,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011169,              0.0011169,              0.0011169
                     13,                0.09237,                0.13511,                0.07509,                0.73555,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010619,              0.0010619,              0.0010619
                     14,                0.09476,                 0.1334,                0.07402,                0.73568,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010069,              0.0010069,              0.0010069
                     15,                0.09008,                0.12715,                0.07263,                0.73504,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00095186,             0.00095186,             0.00095186
                     16,                0.08831,                0.12284,                0.07342,                0.73501,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00089685,             0.00089685,             0.00089685
                     17,                0.08527,                0.12087,                  0.068,                0.73474,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00084184,             0.00084184,             0.00084184
                     18,                0.08239,                0.10834,                0.06664,                0.73426,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00078682,             0.00078682,             0.00078682
                     19,                0.07942,                0.11556,                0.06465,                0.73415,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00073181,             0.00073181,             0.00073181
                     20,                0.07889,                0.10569,                0.06302,                0.73422,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006768,              0.0006768,              0.0006768
                     21,                0.07249,                0.09423,                0.05937,                0.73373,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00062179,             0.00062179,             0.00062179
                     22,                 0.0689,                0.08913,                0.05658,                0.73346,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00056678,             0.00056678,             0.00056678
                     23,                0.06606,                0.08709,                0.05514,                0.73342,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00051177,             0.00051177,             0.00051177
                     24,                 0.0642,                0.09593,                0.05245,                0.73311,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00045676,             0.00045676,             0.00045676
                     25,                0.06269,                0.08005,                0.05151,                0.73296,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00040175,             0.00040175,             0.00040175
                     26,                 0.0592,                0.07383,                0.04908,                0.73273,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00034674,             0.00034674,             0.00034674
                     27,                0.05626,                0.06694,                0.04734,                 0.7326,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00029172,             0.00029172,             0.00029172
                     28,                0.05373,                0.06515,                0.04521,                0.73242,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00023671,             0.00023671,             0.00023671
